Reaction_Type,Metal,Support,Promoter,Preparation_Method,Metal_Loading_wt%,Temperature_C,Pressure_bar,GHSV_h-1,H2_CO_Ratio,Activity,Selectivity,Stability,TOF_s-1,Activation_Energy_kJ_mol
methanol-synthesis,Ni,SBA-15,Cs2O,Hydrothermal,5.97,689.2,68.0,44717.0,0.8,0.6198,0.5998,0.6777,2.63,34.5
syngas-to-ethanol,Ag,BEA,SrO,Impregnation,14.25,672.8,70.4,21556.0,2.07,0.6814,0.6472,0.7213,20.97,160.4
co2-reduction,Zn,TiO2,Cs2O,Sol-gel,5.78,710.8,11.1,19616.0,1.76,0.4118,0.4142,0.5444,3.73,69.7
ethanol-to-jet,Mo,BEA,K2O,Flame-spray,2.43,334.5,63.2,44387.0,1.77,0.5921,0.4329,0.814,5.1,40.4
syngas-to-ethanol,Pt,SAPO-34,BaO,Co-precipitation,9.81,462.7,83.6,8970.0,1.74,0.6092,0.6529,0.591,9.27,135.3
methanol-synthesis,Ce,MCM-41,La2O3,ALD,18.36,230.7,38.6,49487.0,2.74,0.4553,0.4379,0.7717,8.22,132.7
ethanol-to-jet,Ag,CNT,None,Deposition-precipitation,10.33,153.0,91.4,28792.0,3.01,0.5173,0.4771,0.5619,0.87,104.9
ammonia-synthesis,Pd,Al2O3,La2O3,Hydrothermal,18.75,531.2,75.0,21993.0,2.54,0.5625,0.5152,0.8637,1.45,179.6
co2-reduction,Cr,C,K2O,Impregnation,21.6,222.3,16.8,34344.0,2.59,0.5039,0.5606,0.6984,0.44,119.4
ammonia-synthesis,Cr,Al2O3,Rb2O,Impregnation,17.17,191.6,88.6,37793.0,3.19,0.4765,0.4445,0.7967,12.94,74.0
co2-reduction,Mo,HZSM-5,Cs2O,ALD,19.17,506.1,11.5,31640.0,3.45,0.5525,0.4754,0.5406,48.24,59.8
dry-reforming,Fe,BEA,Rb2O,Impregnation,15.17,490.9,12.1,18786.0,3.95,0.6318,0.6987,0.8058,40.27,65.9
syngas-to-ethanol,Ti,SAPO-34,K2O,Electrodeposition,20.49,882.4,53.7,7162.0,2.81,0.3831,0.4224,0.4226,16.9,54.8
hydrogenation,Ce,MgO,BaO,ALD,19.0,651.9,71.6,20551.0,2.85,0.4968,0.4241,0.4943,9.72,164.9
ammonia-synthesis,In,SiO2,BaO,Co-precipitation,8.78,570.6,23.8,11791.0,0.75,0.6094,0.618,0.6188,0.08,64.3
ethanol-to-jet,Au,SAPO-34,Rb2O,Hydrothermal,7.32,488.3,54.4,36444.0,3.59,0.7067,0.7461,0.8065,23.07,66.4
ammonia-synthesis,Zn,SiO2,K2O,Co-precipitation,16.65,383.4,41.7,43328.0,0.69,0.5696,0.5835,0.7398,5.72,126.9
ethanol-to-jet,Mn,SBA-15,Na2O,Co-precipitation,6.59,252.2,45.4,21672.0,1.47,0.6485,0.5927,0.6508,6.38,168.5
ammonia-synthesis,W,SAPO-34,None,ALD,20.98,875.2,92.7,42586.0,1.08,0.3988,0.4513,0.5914,1.27,62.1
