Reaction,Metal,Support,Temperature,Pressure,Activity,Selectivity
ethanol-to-jet,Ni,Al2O3,309.1797049722595,14.814254923989246,0.6248357076505616,0.6179224925920024
ethanol-to-jet,Au,BEA,206.5102412091205,42.77026014884177,0.5323844269050346,0.6085359197254359
ethanol-to-jet,Cu,SiO2,301.22958070398073,60.59985417594805,0.5882923312638332,0.5765854834163742
biomass-to-hmf,In,BEA,422.6878836250782,45.47169558210151,0.6789606407753696,0.717332377233015
co2-reduction,Ni,CeO2,603.7906067423474,34.6848011352812,0.47652628070325237,0.5036542828825507
methanol-synthesis,In,TiO2,216.43667973790167,38.6128027630964,0.4768291153593769,0.45354262768086406
co2-reduction,Fe,Al2O3,674.6333776283471,73.24344688268798,0.5120981135783017,0.4164341013454118
biomass-to-hmf,Cu,MgO,201.22012875099782,30.024649859302198,0.41375410837434834,0.3856397319122997
biomass-to-hmf,Fe,SiO2,607.9716935397003,5.536613981910559,0.4493584439832788,0.4650708106130425
methanol-synthesis,Pd,SAPO-34,705.9565186598455,86.7818830087717,0.25459879622393944,0.18398361115717488
syngas-to-ethanol,Pd,C,563.1948887718602,37.11838571803834,0.5732824384460777,0.561993623421751
co2-reduction,Fe,SiO2,585.6138633455007,70.48021103239658,0.5033764102343962,0.4321390009237233
ethanol-to-jet,Pt,CeO2,497.1909200693102,25.236281589991197,0.5727808637737408,0.5783269932592341
syngas-to-ethanol,Ru,Al2O3,793.1901779137869,64.35997622555519,0.24245032112888484,0.26123522204616845
biomass-to-hmf,In,TiO2,697.8537481233762,77.82399124307824,0.46996806550405973,0.4553833780143959
methanol-synthesis,Ni,TiO2,410.7571115645138,7.5526719159431766,0.5699146693885301,0.662528578613977
biomass-to-hmf,Sn,TiO2,288.20725363519136,50.423894689735455,0.4993251387631033,0.4464395923153083
syngas-to-ethanol,Co,Al2O3,240.75970769157908,74.75390922706904,0.5411272456051595,0.48008506310660837
biomass-to-hmf,Pd,MgO,733.5848743416101,40.54065000889933,0.3104431797502378,0.212459673556249
methanol-synthesis,Co,BEA,470.7852926782602,75.82243359584004,0.5335906975550785,0.5434337593485347
ethanol-to-jet,Co,CeO2,664.8515868359267,42.79383671316872,0.5369233289997706,0.5454917430592691
ethanol-to-jet,Ru,MgO,537.3274784347333,47.33693889068305,0.49421758588058795,0.4791624011011235
co2-reduction,Rh,HZSM-5,592.184216666737,12.340622555384979,0.42607390048162863,0.3900816900618932
biomass-to-hmf,Pd,TiO2,222.50891283731968,44.041759816241395,0.47696806145201065,0.5298241727629565
syngas-to-ethanol,Ni,Al2O3,781.7272642655743,76.4342577061544,0.31718091447842306,0.22902890671028636
biomass-to-hmf,Cu,Al2O3,697.0850763121036,51.258625315785785,0.5162041984697398,0.4969500844489239
methanol-synthesis,Co,TiO2,645.6320200488483,54.39852398184295,0.4661538999847021,0.49673771442674547
